AAAAMMJJHH,type
2013-10-15 02:47:38,S
2013-10-15 09:24:10,S
2013-10-16 05:11:10,S
2013-10-18 08:28:39,S
2013-10-19 16:22:35,S
2013-10-22 09:14:32,S
2013-10-23 07:21:12,S
2013-10-23 18:41:14,S
2013-10-23 20:42:36,S
2013-10-24 09:11:01,S
2013-10-26 12:58:20,S
2013-10-28 02:06:18,S
2013-10-28 09:02:47,S
2013-10-29 09:45:00,S
2013-10-31 08:42:15,S
2013-10-31 09:26:09,S
2013-10-31 22:10:08,S
2013-11-04 19:35:51,S
2013-11-05 05:03:45,S
2013-11-05 05:45:25,R
2013-11-05 10:21:05,S
2013-11-05 10:22:11,S
2013-11-07 23:55:35,S
2013-11-09 10:18:31,S
2013-11-10 04:54:36,S
2013-11-10 18:28:26,R
2013-11-11 20:23:03,S
2013-11-11 22:57:55,S
2013-11-12 09:19:24,S
2013-11-13 02:53:20,S
2013-11-13 12:42:13,S
2013-11-14 11:35:18,S
2013-11-14 16:42:15,S
2013-11-14 23:15:01,R
2013-11-15 08:39:46,S
2013-11-15 09:50:41,R
2013-11-16 21:17:16,S
2013-11-16 22:11:52,S
2013-11-19 08:31:35,S
2013-11-20 18:46:14,S
2013-11-21 10:34:55,S
2013-11-21 10:37:28,S
2013-11-22 19:51:04,S
2013-11-22 23:04:46,S
2013-11-25 06:45:09,S
2013-11-26 05:12:51,S
2013-11-26 10:33:42,S
2013-11-26 23:40:54,S
2013-11-28 09:11:53,R
2013-11-29 12:59:32,R
2013-11-29 23:40:16,S
2013-11-30 13:19:22,S
2013-12-01 12:28:23,R
2013-12-01 21:12:30,S
2013-12-02 08:37:12,S
2013-12-03 14:38:48,R
2013-12-04 11:20:44,S
2013-12-05 00:59:01,S
2013-12-05 20:35:55,S
2013-12-06 04:25:20,S
2013-12-06 09:09:13,S
2013-12-08 06:56:42,S
2013-12-08 14:32:37,S
2013-12-12 01:00:10,S
2013-12-12 09:30:45,S
2013-12-12 10:00:38,S
2013-12-12 10:34:51,S
2013-12-12 10:47:13,S
2013-12-13 09:19:13,S
2013-12-15 04:30:44,S
2013-12-17 13:27:03,S
2013-12-18 22:50:22,S
2013-12-19 08:59:48,S
2013-12-20 08:15:38,S
2013-12-20 09:04:52,S
2013-12-20 23:14:06,S
2013-12-20 23:25:55,S
2013-12-21 16:09:40,S
2013-12-21 16:20:53,S
